sample	bacterial_archaeal_bases	metagenome_size	read_fraction	average_bacterial_archaeal_genome_size	warning
SAMEA103892442	313111663	492000000.0	63.64	5017815	
SAMEA103892580	361123750	510000000.0	70.81	4510664	
SAMEA103892462	7388770108	12434000000.0	59.42	5069308	
SAMEA103892600	421190693	884000000.0	47.65	5258311	
SAMEA103892439	710957210	1257000000.0	56.56	5468060	
SAMEA103892477	232443925	686000000.0	33.88	4850666	
SAMEA103892450	173123613	330000000.0	52.46	4808989	
SAMEA103892598	303001949	423000000.0	71.63	4137110	
SAMEA103892553	181375075	286000000.0	63.42	4489482	
SAMEA103892513	7696019716	10654000000.0	72.24	5035179	
SAMEA103892586	333477480	547000000.0	60.96	4397699	
SAMEA103892499	303483169	495000000.0	61.31	4496047	
SAMEA103892583	240192957	384000000.0	62.55	4706897	
SAMEA103892432	1106012759	2749000000.0	40.23	5303600	
SAMEA103892476	1075545984	1630000000.0	65.98	4431951	
SAMEA103892485	68009498	168000000.0	40.48	4700034	
SAMEA103892448	178355226	409000000.0	43.61	4691090	
SAMEA103892567	264049870	547000000.0	48.27	5128178	
SAMEA103892446	294624895	571000000.0	51.60	4706468	
SAMEA103892571	320638047	540000000.0	59.38	4971133	
SAMEA103892536	337569304	486000000.0	69.46	4383448	
SAMEA103892507	321584096	538000000.0	59.77	4535102	
SAMEA103892615	286966522	419000000.0	68.49	4857253	
SAMEA103892543	177894955	296000000.0	60.10	4367664	
SAMEA103892449	74849640	206000000.0	36.33	4669347	
SAMEA103892541	372481264	669000000.0	55.68	4998407	
SAMEA103892496	293354223	490000000.0	59.87	4575081	
SAMEA103892587	282102270	466000000.0	60.54	4313490	
SAMEA103892590	307211901	601000000.0	51.12	4816744	
SAMEA103892574	312185715	427000000.0	73.11	4689586	
SAMEA103892528	1866744954	3194000000.0	58.45	4799694	
SAMEA103892451	124015121	218000000.0	56.89	4424371	
SAMEA103892569	239500975	376000000.0	63.70	4700706	
SAMEA103892593	367940634	587000000.0	62.68	4928877	
SAMEA103892487	346639339	572000000.0	60.60	4372894	
SAMEA103892556	233176461	395000000.0	59.03	4549785	
SAMEA103892603	389005554	559000000.0	69.59	4571158	
SAMEA103892572	616497890	1154000000.0	53.42	4505905	
SAMEA103892564	302907447	485000000.0	62.46	4339648	
SAMEA103892539	252111717	392000000.0	64.31	4634407	
SAMEA103892444	229580303	416000000.0	55.19	4837343	
SAMEA103892479	266046390	468000000.0	56.85	4479650	
SAMEA103892524	277996856	408000000.0	68.14	4477321	
SAMEA103892555	367516107	593000000.0	61.98	4478081	
SAMEA103892519	295031107	549000000.0	53.74	5211643	
SAMEA103892610	644918804	987000000.0	65.34	4579414	
SAMEA103892554	281212802	450000000.0	62.49	4956165	
SAMEA103892517	575972542	1108000000.0	51.98	4875752	
SAMEA103892545	1179346653	1773000000.0	66.52	4620540	
SAMEA103892549	291984177	432000000.0	67.59	4005270	
SAMEA103892585	235538169	319000000.0	73.84	4319424	
SAMEA103892504	323135424	531000000.0	60.85	4220131	
SAMEA103892500	6082571834	8949000000.0	67.97	4812085	
SAMEA103892467	3744872181	7841000000.0	47.76	5365300	
SAMEA103892530	582087275	917000000.0	63.48	4747470	
SAMEA103892433	388137770	734000000.0	52.88	5270031	
SAMEA103892562	360033492	548000000.0	65.70	4418673	
SAMEA103892490	285790047	535000000.0	53.42	4551522	
SAMEA103892618	597749316	1116000000.0	53.56	5231026	
SAMEA103892592	316524005	490000000.0	64.60	4649978	
SAMEA103892577	268714017	485000000.0	55.40	4937781	
SAMEA103892456	4204697991	8063000000.0	52.15	5061937	
SAMEA103892457	3439569655	5576000000.0	61.69	4419961	
SAMEA103892514	3447445081	4893000000.0	70.46	4916213	
SAMEA103892523	377033207	572000000.0	65.91	4274268	
SAMEA103892508	83430161	138000000.0	60.46	4495160	
SAMEA103892463	2909396693	6537000000.0	44.51	5351304	
SAMEA103892471	2381086627	3742000000.0	63.63	5221109	
SAMEA103892455	3244310368	7295000000.0	44.47	5107300	
SAMEA103892594	199137308	288000000.0	69.14	3916942	
SAMEA103892607	331099742	636000000.0	52.06	4784678	
SAMEA103892483	177234546	298000000.0	59.47	4882494	
SAMEA103892521	351240213	572000000.0	61.41	5147885	
SAMEA103892599	333687011	489000000.0	68.24	4258928	
SAMEA103892531	312556861	493000000.0	63.40	4270486	
SAMEA103892459	3685312917	5807000000.0	63.46	4585434	
SAMEA103892447	324381215	485000000.0	66.88	4799959	
SAMEA103892460	4156314607	8973000000.0	46.32	5224651	
SAMEA103892511	1309710254	2288000000.0	57.24	4978940	
SAMEA103892468	3103034217	6184000000.0	50.18	5144799	
SAMEA103892604	241537677	433000000.0	55.78	4752808	
SAMEA103892565	200450909	297000000.0	67.49	4443603	
SAMEA103892453	248300923	414000000.0	59.98	5020237	
SAMEA103892520	5348260891	10600000000.0	50.46	5245810	
SAMEA103892452	1186199847	1572000000.0	75.46	4682799	
SAMEA103892612	338633221	490000000.0	69.11	4617936	
SAMEA103892591	125066980	219000000.0	57.11	4314142	
SAMEA103892548	370090102	568000000.0	65.16	4161589	
SAMEA103892576	368231176	572000000.0	64.38	4836238	
SAMEA103892559	244183878	368000000.0	66.35	4280924	
SAMEA103892538	284662248	439000000.0	64.84	4690431	
SAMEA103892566	391812821	556000000.0	70.47	4656677	
SAMEA103892509	409048728	697000000.0	58.69	4721791	
SAMEA103892537	347578250	588000000.0	59.11	5071914	
SAMEA103892438	282685386	563000000.0	50.21	5011264	
SAMEA103892552	331911253	478000000.0	69.44	4619502	
SAMEA103892617	292721982	425000000.0	68.88	4759707	
SAMEA103892458	4929792255	7275000000.0	67.76	4558376	
SAMEA103892529	526354043	817000000.0	64.43	4596577	
SAMEA103892436	842427262	1244000000.0	67.72	5265499	
SAMEA103892535	443883698	636000000.0	69.79	4680343	
SAMEA103892614	359144081	545000000.0	65.90	4766345	
SAMEA103892546	329449868	585000000.0	56.32	4705082	
SAMEA103892441	282391197	518000000.0	54.52	4707305	
SAMEA103892557	293336447	797000000.0	36.81	5056653	
SAMEA103892563	293121237	492000000.0	59.58	4597259	
SAMEA103892575	303563695	419000000.0	72.45	4327968	
SAMEA103892589	291036897	499000000.0	58.32	4395000	
SAMEA103892469	261121484	445000000.0	58.68	4290527	
SAMEA103892582	307757888	476000000.0	64.66	5033659	
SAMEA103892481	264198722	438000000.0	60.32	4158645	
SAMEA103892609	1800505228	3559000000.0	50.59	5306685	
SAMEA103892440	293679547	676000000.0	43.44	5059079	
SAMEA103892466	5716177118	10289000000.0	55.56	5066859	
SAMEA103892527	1922398330	2803000000.0	68.58	4813216	
SAMEA103892611	625239024	1027000000.0	60.88	4866810	
SAMEA103892482	250864688	437000000.0	57.41	4175511	
SAMEA103892616	399288092	596000000.0	66.99	4828735	
SAMEA103892525	309644447	482000000.0	64.24	4275086	
SAMEA103892437	907783552	1372000000.0	66.16	5261293	
SAMEA103892558	261130565	412000000.0	63.38	4860051	
SAMEA103892608	2971417308	5178000000.0	57.39	4638563	
SAMEA103892445	270213748	464000000.0	58.24	4282310	
SAMEA103892620	455863407	851000000.0	53.57	5152746	
SAMEA103892584	295316916	424000000.0	69.65	4317499	
SAMEA103892503	318288055	517000000.0	61.56	4170441	
SAMEA103892443	172953657	367000000.0	47.13	4543043	
SAMEA103892606	111385206	413000000.0	26.97	4935100	
SAMEA103892486	339845378	553000000.0	61.45	5007299	
SAMEA103892478	2226883452	5671000000.0	39.27	5227671	
SAMEA103892619	3209863688	6032000000.0	53.21	5287382	
SAMEA103892595	311441852	463000000.0	67.27	3955319	
SAMEA103892484	300442962	494000000.0	60.82	4879697	
SAMEA103892516	6271343884	8485000000.0	73.91	4509228	
SAMEA103892540	237072854	548000000.0	43.26	4980522	
SAMEA103892454	3284241529	7374000000.0	44.54	5168046	
SAMEA103892561	215710329	362000000.0	59.59	4239590	
SAMEA103892506	6340193577	8501000000.0	74.58	4763374	
SAMEA103892491	289182915	499000000.0	57.95	4241463	
SAMEA103892560	604333043	1083000000.0	55.80	4585228	
SAMEA103892494	350428456	544000000.0	64.42	4511761	
SAMEA103892534	748844203	1836000000.0	40.79	5184825	
SAMEA103892613	442679458	643000000.0	68.85	4919207	
SAMEA103892597	273583230	509000000.0	53.75	4741477	
SAMEA103892461	4041391638	7507000000.0	53.83	5122754	
SAMEA103892470	243330289	413000000.0	58.92	4711138	
SAMEA103892544	650607216	1010000000.0	64.42	4513404	
SAMEA103892501	303475743	481000000.0	63.09	4084465	
SAMEA103892489	338371729	554000000.0	61.08	4333654	
SAMEA103892588	283381780	456000000.0	62.15	4358379	
SAMEA103892550	202859033	316000000.0	64.20	4356002	
SAMEA103892533	372188294	568000000.0	65.53	4538882	
SAMEA103892542	280371492	782000000.0	35.85	5254338	
SAMEA103892578	320192508	536000000.0	59.74	5024204	
SAMEA103892551	375023817	569000000.0	65.91	4770688	
SAMEA103892434	1737718199	2813000000.0	61.77	5444832	
SAMEA103892601	295381361	523000000.0	56.48	5030337	
SAMEA103892493	249966426	449000000.0	55.67	4442268	
SAMEA103892475	374532683	563000000.0	66.52	4254120	
SAMEA103892596	212749835	343000000.0	62.03	4545937	
SAMEA103892480	253394369	411000000.0	61.65	4263745	
SAMEA103892472	6168258628	9112000000.0	67.69	5106259	
SAMEA103892497	311822554	517000000.0	60.31	4547507	
SAMEA103892570	330063488	529000000.0	62.39	4504756	
SAMEA103892581	474183530	731000000.0	64.87	4622573	
SAMEA103892512	718797759	1183000000.0	60.76	4514211	
SAMEA103892568	323192829	570000000.0	56.70	4852745	
SAMEA103892510	396309952	587000000.0	67.51	4584268	
SAMEA103892518	616037226	890000000.0	69.22	4332798	
SAMEA103892474	6070841476	9060000000.0	67.01	4485888	
SAMEA103892605	2998824324	4183000000.0	71.69	5079051	
SAMEA103892515	1431251851	2082000000.0	68.74	5023523	
SAMEA103892502	336960253	537000000.0	62.75	3921334	
SAMEA103892488	300977265	500000000.0	60.20	4222464	
SAMEA103892579	257098910	386000000.0	66.61	4442698	
SAMEA103892435	644330337	1287000000.0	50.06	5150934	
SAMEA103892495	6422074166	8959000000.0	71.68	4857113	
SAMEA103892492	297041042	503000000.0	59.05	4906525	
SAMEA103892547	273930891	584000000.0	46.91	4996004	
SAMEA103892465	2639272561	8697000000.0	30.35	5508584	
SAMEA103892498	270706630	450000000.0	60.16	4563497	
SAMEA103892522	519135180	827000000.0	62.77	4737499	
SAMEA103892505	368466265	541000000.0	68.11	4442029	
SAMEA103892602	467403078	882000000.0	52.99	5238183	
SAMEA103892464	2668016211	5670000000.0	47.05	5261322	
SAMEA103892573	342646134	544000000.0	62.99	5024137	
